"","FacNum","County","Type","City.x","Name.x","Total","UptodateTot","UptodatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HIBTot","HIBPct","HEPBTot","HEPBPct","VariTot","VariPct","Report","PBEPctCalc","Capacity","LicStatus","Name.y","Address","City.y","State","Zipcode","Telephone"
"1",118554,"YOLO","PUBLIC","DAVIS","DAVIS SPECIAL EDUCATION PRE-SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",6069470,"EL DORADO","PUBLIC","PLACERVILLE","SPECIAL EDUCATION",42,37,88,0,0,0,0,5,12,37,88,37,88,37,88,37,88,37,88,37,88,"Y",0.119047619047619,NA,NA,NA,NA,NA,NA,NA,NA
"12",90319274,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","HOPE LUTHERAN PRESCHOOL",15,9,60,3,20,0,0,3,20,12,80,12,80,12,80,14,93,13,87,11,73,"Y",0.2,NA,NA,NA,NA,NA,NA,NA,NA
"13",90320674,"EL DORADO","PUBLIC","SOUTH LAKE TAHOE","LAKE TAHOE COMMUNITY COLLEGE CHILD DEVEL CTR",47,41,87,1,2,2,4,3,6,43,91,43,91,42,89,43,91,43,91,43,91,"Y",0.0638297872340425,NA,NA,NA,NA,NA,NA,NA,NA
"24",93606935,"EL DORADO","PRIVATE","EL DORADO HILLS","KINDERCARE LEARNING CENTER - FRANCISCO",50,40,80,7,14,0,0,3,6,44,88,47,94,44,88,47,94,47,94,41,82,"Y",0.06,NA,NA,NA,NA,NA,NA,NA,NA
"25",93608581,"EL DORADO","PRIVATE","EL DORADO HILLS","KINDERCARE LEARNING CENTER - PARK",66,4,6,62,94,0,0,0,0,4,6,42,64,58,88,60,91,29,44,48,73,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"36",93614391,"EL DORADO","PRIVATE","CAMERON PARK","MS. LISA'S MONTESSORI",21,15,71,6,29,0,0,0,0,21,100,21,100,21,100,21,100,21,100,15,71,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"41",93615348,"EL DORADO","PRIVATE","CAMERON PARK","KID'S TOWN INFANT AND TODDLER PRESCHOOL CC",27,20,74,6,22,0,0,1,4,24,89,25,93,25,93,25,93,23,85,25,93,"Y",0.037037037037037,NA,NA,NA,NA,NA,NA,NA,NA
"46",93616199,"EL DORADO","PRIVATE","EL DORADO HILLS","GIFT OF KIDS, THE",92,55,60,37,40,0,0,0,0,65,71,83,90,74,80,91,99,79,86,74,80,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
"77",310318850,"PLACER","PRIVATE","LOOMIS","PENRYN OAKS PRESCHOOL AND DAYCARE",28,28,100,0,0,0,0,0,0,28,100,28,100,28,100,28,100,28,100,28,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA
